nodes,x,y,time,elapsed_time
1,10000,10000,40.70,40.711371663
2,10000,10000,29.97,29.987019481
4,10000,10000,15.55,15.564980981
8,10000,10000,9.83,9.841002374
16,10000,10000,8.38,8.395799779
