nodes,problem_size,time,expected_time,relative_time
1,100000000,42.15,42.15,1.00
2,400000000,89.49,84.30,1.06
4,1600000000,154.68,168.60,0.92
8,6400000000,299.69,337.20,0.89
16,25600000000,662.24,674.40,0.98
