nodes,x,y,time,elapsed_time
1,10000,10000,43.76,43.775433260
2,10000,10000,32.88,32.888759523
4,10000,10000,17.12,17.138164725
8,10000,10000,13.98,14.001331451
16,10000,10000,8.33,8.353404160
